node_id,parent,children,success,cost_from_parent,cum_cost,time_from_parent,cum_time,dist_to_goal,x,y,psi,vx,vy,r,u_delta,u_sfx
8403.000000,8128.000000,0.000000,0.000000,0.213416,3.083408,0.200000,2.800000,2.648157,-2.454099,-0.683575,4.876823,3.419599,0.106972,0.781774,0.090389,0.084027
8404.000000,4256.000000,0.000000,0.000000,0.220309,3.531065,0.200000,3.200000,2.013717,-1.929957,-0.229990,5.125254,0.953698,-0.136425,-1.257914,-0.257813,-0.022420
8405.000000,5585.000000,0.000000,-1.000000,0.216509,2.648467,0.200000,2.400000,2.954124,-2.580817,1.230333,4.628555,1.520692,-0.255892,-1.589532,-0.286076,0.001551
8406.000000,207.000000,0.000000,0.000000,0.224337,0.664224,0.200000,0.600000,1.604832,-0.091256,1.539009,1.394450,2.011975,-0.349036,-1.727125,-0.338088,-0.046305
8407.000000,2218.000000,0.000000,0.000000,0.218883,3.292721,0.200000,3.000000,2.796227,-2.332718,1.383762,5.034249,0.699777,-0.046109,-0.998804,-0.173923,-0.005884
8408.000000,6620.000000,0.000000,0.000000,0.228635,1.766131,0.200000,1.600000,3.697497,-2.105129,2.857200,3.468337,1.684659,0.109220,0.493139,0.116662,-0.043309
8409.000000,8140.000000,0.000000,-1.000000,0.227058,0.886443,0.200000,0.800000,1.862780,0.121581,1.806247,1.386676,0.548383,-0.053735,-0.744364,-0.106803,-0.083321
8410.000000,7257.000000,0.000000,0.000000,0.217787,2.869254,0.200000,2.600000,2.471490,-2.209143,0.885122,4.978961,1.756102,0.092869,0.838779,0.076804,0.015447
8411.000000,6880.000000,0.000000,0.000000,0.203998,2.406533,0.200000,2.200000,3.284152,-2.554849,1.887147,4.386853,1.790995,-0.016578,0.178083,-0.029621,0.057839
8412.000000,6713.000000,0.000000,0.000000,0.211357,2.642006,0.200000,2.400000,2.655310,-2.287061,1.138069,4.907503,2.237395,-0.135951,-0.594770,-0.118393,0.028045
8413.000000,7987.000000,0.000000,0.000000,0.218136,2.205215,0.200000,2.000000,3.666097,-2.524047,2.445170,3.561357,2.631829,-0.396960,-2.171634,-0.323371,0.006736
8414.000000,7834.000000,0.000000,1.000000,0.211738,1.983560,0.200000,1.800000,3.613505,-2.019415,2.803931,3.560786,2.558827,0.227653,1.205180,0.184512,0.065615
8415.000000,2049.000000,0.000000,0.000000,0.205307,3.266267,0.200000,3.000000,2.544018,-2.183734,1.097090,5.021329,2.289973,-0.384062,-1.901373,-0.320857,0.047055
8416.000000,8145.000000,0.000000,0.000000,0.224412,2.213784,0.200000,2.000000,3.740988,-2.275838,2.778308,3.337511,1.085256,-0.226926,-1.564530,-0.339796,-0.029249
8417.000000,7294.000000,0.000000,0.000000,0.212819,3.524383,0.200000,3.200000,1.324916,-1.078715,-0.679142,5.887564,2.015943,0.314530,1.571577,0.281391,0.046727
8418.000000,6202.000000,0.000000,0.000000,0.218570,2.647349,0.200000,2.400000,2.738372,-2.351765,1.168105,5.155503,3.195652,0.335093,2.805695,0.347308,0.043477
8419.000000,8251.000000,0.000000,0.000000,0.225377,1.758080,0.200000,1.600000,4.206874,-2.225456,3.358778,2.712289,2.302798,-0.211509,-1.208859,-0.206926,-0.061491
8420.000000,326.000000,0.000000,0.000000,0.226886,0.666772,0.200000,0.600000,2.133234,-0.336615,1.701159,2.055515,1.805200,0.274615,1.383405,0.305683,-0.078743
